,hiduke,jikoku_code,power
17652,2019-01-12,37,20559.29607933558
17653,2019-01-12,38,20559.29607933558
17654,2019-01-12,39,19747.770957058216
17655,2019-01-12,40,19747.770957058216
17656,2019-01-12,41,19093.38553925496
17657,2019-01-12,42,18996.509826252608
17658,2019-01-12,43,18240.646392294788
17659,2019-01-12,44,18240.646392294788
17660,2019-01-12,45,17972.601370067136
17661,2019-01-12,46,17972.601370067136
17662,2019-01-12,47,17250.249835357074
17663,2019-01-12,48,17250.249835357074
17664,2019-01-13,1,15463.729808303355
17665,2019-01-13,2,15463.729808303355
17666,2019-01-13,3,14793.377085874261
17667,2019-01-13,4,14793.377085874261
17668,2019-01-13,5,14485.773515861572
17669,2019-01-13,6,14485.773515861572
17670,2019-01-13,7,14485.773515861572
17671,2019-01-13,8,14485.773515861572
17672,2019-01-13,9,14485.773515861572
17673,2019-01-13,10,14485.773515861572
17674,2019-01-13,11,14678.089433574189
17675,2019-01-13,12,14715.772905152564
17676,2019-01-13,13,16873.323960275855
17677,2019-01-13,14,16873.323960275855
17678,2019-01-13,15,18063.298750081685
17679,2019-01-13,16,18168.49252753016
17680,2019-01-13,17,19271.90736183482
17681,2019-01-13,18,19505.33896435535
17682,2019-01-13,19,20406.194785231844
17683,2019-01-13,20,20406.194785231844
17684,2019-01-13,21,20443.593302975623
17685,2019-01-13,22,20443.593302975623
17686,2019-01-13,23,19795.6177932155
17687,2019-01-13,24,19795.6177932155
17688,2019-01-13,25,19127.0612104324
17689,2019-01-13,26,19127.0612104324
17690,2019-01-13,27,18807.818653143277
17691,2019-01-13,28,18807.818653143277
17692,2019-01-13,29,18164.928454229568
17693,2019-01-13,30,18164.928454229568
17694,2019-01-13,31,18140.006526326444
17695,2019-01-13,32,18140.006526326444
17696,2019-01-13,33,18437.234823230745
17697,2019-01-13,34,18478.553862647248
17698,2019-01-13,35,19407.586399109554
17699,2019-01-13,36,19407.586399109554
17700,2019-01-13,37,19407.586399109554
17701,2019-01-13,38,19407.586399109554
